rat | Cheese:common
crazed_winter_vanguard | Ice Flower:uncommon, Small Enchanted Ruby:uncommon, Ultimate Health Potion:uncommon, Northwind Rod:uncommon, Glacier Amulet:uncommon, Ice Rapier:uncommon, Glacier Robe:semi-rare, Elven Amulet:rare, Blue Gem:very rare
frazzlemaw | Great Mana Potion:uncommon, Great Health Potion:uncommon, Brown Crystal Splinter:uncommon, Skull:uncommon, Fish Tail:uncommon, Piece of Iron:uncommon, Bone:uncommon, Fish:uncommon, Red Crystal Fragment:semi-rare, Ham:semi-rare, Big Bone:semi-rare, Hardened Bone:semi-rare, Violet Crystal Shard:semi-rare, Iron Ore:semi-rare, Haunted Blade:semi-rare, Two Handed Sword:semi-rare, Gold Ingot:semi-rare, Traditional Sai:semi-rare, Nightmare Blade:rare, Assassin Dagger:rare, Cluster of Solace:very rare
silencer | Assassin Star:uncommon, Dark Shield:semi-rare, Glorious Axe:semi-rare, Titan Axe:semi-rare, Haunted Blade:semi-rare, Stealth Ring:semi-rare, Terra Legs:rare, Diamond Sceptre:rare, Terra Boots:rare, Shadow Sceptre:rare, Boots of Haste:very rare, Cluster of Solace:very rare
guzzlemaw | Great Health Potion:uncommon, Brown Crystal Splinter:uncommon, Great Mana Potion:uncommon, Ham:uncommon, Fish Tail:uncommon, Piece of Iron:uncommon, Red Crystal Fragment:uncommon, Bone:uncommon, Skull:uncommon, Fish:semi-rare, Hardened Bone:semi-rare, Iron Ore:semi-rare, Violet Crystal Shard:semi-rare, Big Bone:semi-rare, Two Handed Sword:semi-rare, Haunted Blade:semi-rare, Traditional Sai:semi-rare, Nightmare Blade:rare, Assassin Dagger:rare, Cluster of Solace:rare
warlock | Cherry:common, Bread:common, Poison Dagger:common, Skull Staff:common, Great Health Potion:common, Great Mana Potion:semi-rare, Assassin Star:semi-rare, Dark Mushroom:semi-rare, Energy Ring:semi-rare, Mind Stone:semi-rare, Candlestick:rare, Blue Robe:rare, Small Sapphire:rare, Talon:rare, Lightning Robe:rare, Inkwell:rare, Crystal Ring:rare, Ring of the Sky:very rare, Stone Skin Amulet:very rare, Golden Armor:very rare, Piggy Bank:very rare
usurper_archer | Meat:common, Ultimate Health Potion:common, Black Pearl:uncommon, Silver Brooch:uncommon, Mino Shield:uncommon, Warrior Helmet:uncommon, Lion Crest:uncommon, Knife:uncommon, Assassin Dagger:semi-rare, White Pearl:semi-rare, Ornate Crossbow:semi-rare, Knight Armor:semi-rare, Coral Brooch:semi-rare, Glacier Shoes:semi-rare, Giant Shimmering Pearl:semi-rare, Wood Cape:semi-rare, Emerald Bangle:rare, Elvish Bow:very rare
usurper_knight | Leather Legs:common, Knight Legs:uncommon, Violet Gem:uncommon, Meat:uncommon, Lion Crest:uncommon, Great Mana Potion:semi-rare, Gold Ingot:semi-rare, Blue Gem:semi-rare, Green Gem:semi-rare, Magma Legs:semi-rare
dragolisk | Giant Shimmering Pearl:uncommon, Red Gem:uncommon, Green Gem:semi-rare, Ultimate Health Potion:semi-rare, Dragon's Tail:semi-rare, Ultimate Mana Potion:rare, Dragon Shield:very rare
wardragon | Gold Ingot:uncommon, Dragon Tongue:uncommon, Black Pearl:semi-rare, Ultimate Health Potion:semi-rare, Onyx Chip:semi-rare, Ultimate Mana Potion:semi-rare, White Gem:rare, Dragonbone Staff:rare
mega_dragon | Ultimate Health Potion:uncommon, Violet Gem:semi-rare, Red Gem:semi-rare, Blue Gem:semi-rare, Ultimate Mana Potion:semi-rare, Prismatic Quartz:semi-rare, Rainbow Quartz:semi-rare, Dragon Slayer:very rare
bulltaur_alchemist | Great Health Potion:uncommon, Great Mana Potion:semi-rare, Violet Gem:semi-rare, Ultimate Health Potion:semi-rare, Gold Ingot:semi-rare, Blue Gem:rare, Gold Ring:rare, Spellweaver's Robe:rare, Ultimate Mana Potion:rare, White Gem:very rare
bulltaur_brute | Small Topaz:uncommon, Violet Gem:semi-rare, Dwarven Ring:semi-rare, Mino Shield:semi-rare, Gold Nugget:rare, Blue Gem:rare, Might Ring:rare, Dragon Hammer:rare, White Gem:very rare
bulltaur_forgepriest | Small Topaz:uncommon, Gold Ingot:uncommon, Soul Orb:uncommon, Blue Gem:semi-rare, Gold Nugget:semi-rare, Lightning Robe:rare, Stone Skin Amulet:rare, White Gem:very rare, Violet Gem:semi-rare
ripper_spectre | Great Spirit Potion:uncommon, Two Handed Sword:uncommon, Terra Rod:uncommon, Silver Brooch:uncommon, Emerald Bangle:semi-rare, Twin Hooks:semi-rare, Springsprout Rod:semi-rare, Coral Brooch:semi-rare, Serpent Sword:rare, Hexagonal Ruby:rare, Assassin Dagger:rare, Spike Sword:very rare, Wyvern Fang:very rare, Stone Skin Amulet:very rare
burster_spectre | Great Spirit Potion:uncommon, Protection Amulet:uncommon, Life Crystal:uncommon, Wand of Voodoo:semi-rare, Wand of Cosmic Energy:semi-rare, Dragon Necklace:semi-rare, Glacier Amulet:semi-rare, Orb:semi-rare, Platinum Amulet:semi-rare, Hailstorm Rod:rare, Hexagonal Ruby:rare, Mind Stone:very rare, Elven Amulet:very rare, Garlic Necklace:very rare, Shockwave Amulet:very rare, Strange Symbol:very rare, Stone Skin Amulet:very rare
gazer_spectre | Small Diamond:uncommon, Brown Crystal Splinter:uncommon, Small Sapphire:uncommon, Red Gem:uncommon, Red Crystal Fragment:uncommon, Small Enchanted Ruby:uncommon, Yellow Gem:semi-rare, Wand of Draconia:semi-rare, Wand of Inferno:semi-rare, Magma Coat:semi-rare, Prismatic Quartz:semi-rare, Small Enchanted Emerald:semi-rare, Onyx Chip:semi-rare, Hexagonal Ruby:rare, Stone Skin Amulet:very rare
gorger_inferniarch | Small Sapphire:semi-rare, Club Ring:semi-rare, Spiked Squelcher:semi-rare, Time Ring:rare, Gold Nugget:very rare
broodrider_inferniarch | Blue Crystal Splinter:uncommon, Power Bolt:semi-rare, Drill Bolt:semi-rare, Onyx Chip:semi-rare, Magma Legs:rare, Arbalest:very rare
sineater_inferniarch | Great Mana Potion:uncommon, Ruby Necklace:semi-rare, Small Ruby:semi-rare, Red Gem:semi-rare, Wooden Spellbook:rare
girtablilu_warrior | Ultimate Health Potion:uncommon, Gold Ingot:uncommon, Green Crystal Shard:uncommon, Magma Coat:semi-rare, Violet Gem:semi-rare, Yellow Gem:semi-rare, Green Gem:semi-rare, Red Gem:semi-rare, Blue Gem:semi-rare, Ice Rapier:semi-rare, Crowbar:semi-rare, Knight Axe:semi-rare, Epee:semi-rare, Beastslayer Axe:semi-rare, Blue Robe:semi-rare, Diamond Sceptre:semi-rare, Dragonbone Staff:semi-rare, Blue Crystal Shard:semi-rare, Violet Crystal Shard:semi-rare, Cyan Crystal Fragment:semi-rare, Red Crystal Fragment:semi-rare, Green Crystal Fragment:semi-rare, Fur Armor:semi-rare, Scorpion Charm:semi-rare, Glacier Robe:rare, Focus Cape:rare
venerable_girtablilu | Small Diamond:uncommon, Red Gem:uncommon, Gold Ingot:uncommon, Cyan Crystal Fragment:uncommon, Violet Gem:semi-rare, Yellow Gem:semi-rare, Blue Gem:semi-rare, Wand of Decay:semi-rare, Wand of Cosmic Energy:semi-rare, Underworld Rod:semi-rare, Northwind Rod:semi-rare, Wand of Voodoo:semi-rare, Blue Crystal Shard:semi-rare, Violet Crystal Shard:semi-rare, Green Crystal Shard:semi-rare, Red Crystal Fragment:semi-rare, Green Crystal Fragment:semi-rare, Ring of Blue Plasma:semi-rare, Scorpion Charm:semi-rare, Necrotic Rod:rare, Wood Cape:rare, Springsprout Rod:rare
animated_feather | Small Sapphire:common, Glacier Mask:uncommon, Energy Ring:uncommon, Ultimate Mana Potion:uncommon, Diamond Sceptre:semi-rare, Glacier Amulet:semi-rare, Golden Mug:semi-rare, Small Diamond:semi-rare, Life Crystal:semi-rare, Hailstorm Rod:semi-rare, Crystal Mace:semi-rare, Sapphire Hammer:rare, Crystalline Armor:very rare
icecold_book | Book Page:common, Small Diamond:common, Small Sapphire:common, Ultimate Mana Potion:uncommon, Ultimate Health Potion:uncommon, Diamond Sceptre:uncommon, Ice Rapier:uncommon, Glacier Mask:uncommon, Sapphire Hammer:semi-rare, Crystal Mace:semi-rare, Glacier Kilt:semi-rare, Glacier Robe:semi-rare, Glacier Shoes:semi-rare, Strange Helmet:semi-rare, Crystalline Armor:rare
squid_warden | Small Sapphire:common, Inkwell:uncommon, Ultimate Health Potion:uncommon, Ultimate Mana Potion:uncommon, Ice Rapier:uncommon, Glacier Mask:uncommon, Crystal Mace:uncommon, Crystal Sword:semi-rare, Glacier Robe:semi-rare, Glacier Kilt:semi-rare, Diamond Sceptre:semi-rare, Sapphire Hammer:rare, Crystalline Armor:rare
burning_book | Book Page:common, Flask of Demonic Blood:common, Demonic Essence:uncommon, Small Amethyst:uncommon, Magma Coat:uncommon, Guardian Shield:uncommon, Soul Orb:uncommon, Scimitar:semi-rare, Necrotic Rod:semi-rare, Death Ring:semi-rare, Stealth Ring:rare, Shadow Sceptre:very rare
ink_blob | Small Diamond:common, Small Topaz:common, Envenomed Arrow:common, Inkwell:common, Giant Shimmering Pearl:uncommon, Terra Boots:uncommon, Terra Hood:uncommon, Blue Gem:uncommon, Terra Legs:semi-rare, Stone Skin Amulet:semi-rare, Protection Amulet:semi-rare, Sacred Tree Amulet:semi-rare, Springsprout Rod:rare, Terra Mantle:rare, Clay Lump:rare, Terra Amulet:very rare, Swamplair Armor:very rare
rage_squid | Ultimate Health Potion:common, Great Mana Potion:uncommon, Great Spirit Potion:uncommon, Demonic Essence:uncommon, Inkwell:uncommon, Fire Mushroom:uncommon, Small Topaz:uncommon, Small Ruby:uncommon, Small Amethyst:uncommon, Small Emerald:uncommon, Fire Axe:uncommon, Giant Sword:semi-rare, Red Gem:semi-rare, Talon:semi-rare, Orb:semi-rare, Might Ring:semi-rare, Demon Shield:semi-rare, Platinum Amulet:semi-rare, Demonrage Sword:semi-rare, Purple Tome:rare, Devil Helmet:rare, Magic Plate Armor:very rare
guardian_of_tales | Small Diamond:common, Book Page:common, Wand of Inferno:uncommon, Soul Orb:uncommon, Fire Axe:semi-rare, Magma Legs:semi-rare, Magma Coat:semi-rare, Fire Sword:semi-rare, Coal:very rare
biting_book | Book Page:common, Big Bone:uncommon, Meat:semi-rare, Ruby Necklace:semi-rare
cursed_book | Book Page:common, Small Diamond:common, Small Topaz:common, Small Stone:uncommon, Protection Amulet:uncommon, Terra Boots:uncommon, Diamond Sceptre:uncommon, Terra Hood:semi-rare, Terra Legs:semi-rare, Terra Amulet:semi-rare, Stone Skin Amulet:semi-rare, Sacred Tree Amulet:semi-rare, Springsprout Rod:rare, Terra Mantle:rare, Swamplair Armor:very rare
knowledge_elemental | Book Page:common, Small Amethyst:common, Energy Ring:uncommon, Flash Arrow:uncommon, Guardian Shield:uncommon, Mana Potion:uncommon, Throwing Star:uncommon, Crystal Sword:uncommon, Ultimate Health Potion:uncommon, Wand of Cosmic Energy:semi-rare, Ultimate Mana Potion:semi-rare, Obsidian Lance:semi-rare, Silver Amulet:semi-rare, Crystal Ring:semi-rare, Lightning Pendant:semi-rare, Might Ring:rare, Spellweaver's Robe:very rare
energetic_book | Book Page:common, Ultimate Health Potion:uncommon, Ultimate Mana Potion:uncommon, Lightning Pendant:semi-rare, Lightning Boots:semi-rare, Lightning Legs:semi-rare, Lightning Headband:semi-rare, Spellweaver's Robe:rare, Haunted Blade:rare
brain_squid | Violet Crystal Shard:common, Inkwell:uncommon, Small Ruby:uncommon, Blue Crystal Splinter:uncommon, Ultimate Mana Potion:uncommon, Violet Gem:uncommon, Cyan Crystal Fragment:semi-rare, Lightning Headband:semi-rare, Lightning Pendant:semi-rare, Collar of Red Plasma:semi-rare, Collar of Blue Plasma:semi-rare, Ring of Red Plasma:semi-rare, Ring of Blue Plasma:semi-rare, Ring of Green Plasma:semi-rare, Collar of Green Plasma:rare, Might Ring:rare, Spellweaver's Robe:very rare
lavafungus | Terra Rod:common, Red Gem:uncommon, Hailstorm Rod:uncommon, Blue Crystal Shard:uncommon, Green Gem:uncommon, Magma Amulet:semi-rare, Violet Gem:semi-rare, Yellow Gem:semi-rare, Wand of Inferno:semi-rare, Dwarven Ring:semi-rare, Crystal Mace:semi-rare, Focus Cape:semi-rare, Wand of Starstorm:semi-rare, Violet Crystal Shard:semi-rare, Cyan Crystal Fragment:semi-rare, Red Crystal Fragment:semi-rare, Green Crystal Fragment:semi-rare, Onyx Chip:semi-rare, Rainbow Quartz:semi-rare
lavaworm | Gold Ingot:uncommon, Violet Crystal Shard:uncommon, Green Gem:uncommon, Violet Gem:semi-rare, Warrior Helmet:semi-rare, Underworld Rod:semi-rare, Wand of Voodoo:semi-rare, Blue Crystal Shard:semi-rare, Crusader Helmet:rare, Strange Helmet:very rare
streaked_devourer | Red Gem:uncommon, Gold Ingot:uncommon, Yellow Gem:semi-rare, Giant Sword:semi-rare, Crystal Mace:semi-rare, War Axe:semi-rare, Relic Sword:semi-rare, Mercenary Sword:semi-rare, Noble Axe:semi-rare, Ornate Crossbow:semi-rare
